"species","latitude","longitude","date_obs","source"
"Castor fiber",47.533334,7.62167,2026-01-03,"gbif"
"Castor fiber",46.614825,7.102275,2026-01-06,"gbif"
"Castor fiber",47.578291,8.886423,2026-01-21,"gbif"
"Castor fiber",47.521655,8.643517,2026-01-25,"gbif"
"Castor fiber",46.912862,7.502237,2026-01-11,"gbif"
"Castor fiber",47.53211,7.621513,2026-01-18,"gbif"
"Castor fiber",46.791338,6.639658,2026-01-19,"gbif"
"Castor fiber",47.474787,9.128875,2026-01-25,"gbif"
"Castor fiber",47.480797,7.606405,2026-01-29,"gbif"
"Castor fiber",47.320256,8.374125,2026-01-30,"gbif"
"Castor fiber",47.607229,8.669251,2026-01-25,"gbif"
"Castor fiber",46.88339,7.20904,2026-01-22,"gbif"
"Castor fiber",47.01748,6.94541,2026-01-10,"gbif"
"Castor fiber",47.19833,7.60359,2026-01-22,"gbif"
"Castor fiber",47.19833,7.60359,2026-01-22,"gbif"
"Castor fiber",47.19833,7.60359,2026-01-22,"gbif"
"Castor fiber",47.01748,6.94541,2026-01-14,"gbif"
"Castor fiber",46.79072,6.62006,2026-01-25,"gbif"
"Castor fiber",47.19833,7.60359,2026-01-22,"gbif"
"Castor fiber",46.973,7.07724,2026-01-11,"gbif"
"Castor fiber",46.88154,6.74987,2026-01-17,"gbif"
"Castor fiber",46.973,7.07724,2026-01-01,"gbif"
"Castor fiber",46.38751,6.88615,2026-01-24,"gbif"
"Castor fiber",47.5581,7.6047,2026-01-05,"gbif"
"Castor fiber",47.5581,7.6047,2026-01-05,"gbif"
"Castor fiber",47.19833,7.60359,2026-01-22,"gbif"
"Castor fiber",47.474838,9.128822,2026-01-25,"gbif"
"Castor fiber",47.196365,8.269787,2026-02-06,"gbif"
"Castor fiber",46.74857,7.60222,2026-02-01,"gbif"
"Castor fiber",46.74857,7.60222,2026-02-01,"gbif"
"Castor fiber",47.460113,9.157995,2026-02-26,"gbif"
"Castor fiber",46.612595,7.100939,2026-03-15,"gbif"
"Castor fiber",46.979115,6.899587,2026-03-11,"gbif"
"Castor fiber",46.612153,7.100408,2026-03-15,"gbif"
"Castor fiber",47.325596,8.370567,2026-03-07,"gbif"
"Castor fiber",46.971347,7.434666,2026-03-08,"gbif"
"Castor fiber",47.45838,9.165947,2026-03-08,"gbif"
"Castor fiber",47.457478,9.166987,2026-03-08,"gbif"
"Castor fiber",47.410985,9.168788,2026-03-15,"gbif"
"Castor fiber",47.403396,8.470974,2026-03-12,"gbif"
"Castor fiber",46.973385,7.431684,2026-03-23,"gbif"
"Castor fiber",47.602287,8.6747,2026-03-21,"gbif"
"Castor fiber",47.60329,8.674014,2026-03-21,"gbif"
"Castor fiber",47.407953,9.221215,2026-03-22,"gbif"
"Castor fiber",47.58067,8.897172,2026-03-31,"gbif"
"Castor fiber",47.51538,7.616213,2026-03-28,"gbif"
"Castor fiber",47.290877,7.755529,2026-04-03,"gbif"
"Castor fiber",46.180782,6.016363,2026-04-04,"gbif"
"Castor fiber",47.648924,9.191218,2026-04-11,"gbif"
"Castor fiber",47.51358,8.681941,2026-04-11,"gbif"
"Castor fiber",46.963126,7.37856,2026-04-19,"gbif"
"Castor fiber",47.119858,9.10074,2026-04-05,"gbif"
"Castor fiber",47.207446,8.792107,2026-04-29,"gbif"
"Castor fiber",46.726761,8.955268,2026-04-30,"gbif"
"Castor fiber",46.7944,7.165472,2026-04-18,"gbif"
"Castor fiber",46.980119,7.051742,2026-05-04,"gbif"
"Castor fiber",46.207725,6.203775,2026-05-10,"gbif"
"Castor fiber",47.45042,9.144554,2026-05-24,"gbif"
"Castor fiber",46.231897,6.236336,2026-05-25,"gbif"
"Castor fiber",46.909581,7.513453,2026-05-02,"gbif"
"Castor fiber",47.450437,9.144582,2026-05-22,"gbif"
"Castor fiber",47.534095,9.405545,2026-05-05,"gbif"
"Castor fiber",47.695864,8.638049,2026-05-28,"gbif"
"Castor fiber",47.276256,8.154302,2026-05-25,"gbif"
