"species","latitude","longitude","date_obs","source"
"Castor fiber",47.533334,7.62167,2026-01-03,"gbif"
"Castor fiber",46.614825,7.102275,2026-01-06,"gbif"
"Castor fiber",47.578291,8.886423,2026-01-21,"gbif"
"Castor fiber",47.521655,8.643517,2026-01-25,"gbif"
"Castor fiber",46.912862,7.502237,2026-01-11,"gbif"
"Castor fiber",47.53211,7.621513,2026-01-18,"gbif"
"Castor fiber",46.791338,6.639658,2026-01-19,"gbif"
"Castor fiber",47.474787,9.128875,2026-01-25,"gbif"
"Castor fiber",47.480797,7.606405,2026-01-29,"gbif"
"Castor fiber",47.320256,8.374125,2026-01-30,"gbif"
"Castor fiber",47.607229,8.669251,2026-01-25,"gbif"
"Castor fiber",47.196365,8.269787,2026-02-06,"gbif"
"Castor fiber",46.980381,7.040506,2025-01-05,"gbif"
"Castor fiber",46.177635,6.011416,2025-01-09,"gbif"
"Castor fiber",46.929306,6.904838,2025-01-12,"gbif"
"Castor fiber",46.624126,6.647134,2025-01-27,"gbif"
"Castor fiber",46.177769,6.011288,2025-01-28,"gbif"
"Castor fiber",46.838392,6.810928,2025-01-26,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97334,7.20865,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01816,7.1427,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.1984,7.5376,2025-01-10,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01775,7.01117,2025-01-03,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.92753,6.94624,2025-01-25,"gbif"
"Castor fiber",46.74831,7.14418,2025-01-18,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",47.46691,8.00233,2025-01-15,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.06314,7.14245,2025-01-03,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.46691,8.00233,2025-01-15,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01816,7.1427,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97319,7.14295,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01816,7.1427,2025-01-20,"gbif"
"Castor fiber",46.61319,7.07965,2025-01-12,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
