"species","latitude","longitude","date_obs","source"
"Libellula depressa",46.198758,6.122653,2026-01-17,"gbif"
"Libellula depressa",46.427307,6.183765,2025-04-26,"gbif"
"Libellula depressa",47.608749,9.181221,2025-04-22,"gbif"
"Libellula depressa",46.20116,8.76661,2025-04-22,"gbif"
"Libellula depressa",46.88225,6.88106,2025-04-28,"gbif"
"Libellula depressa",47.195372,8.521047,2025-05-02,"gbif"
"Libellula depressa",47.531916,7.608891,2025-05-01,"gbif"
"Libellula depressa",47.276692,8.754145,2025-05-04,"gbif"
"Libellula depressa",46.187428,6.012864,2025-05-04,"gbif"
"Libellula depressa",47.5034,8.48249,2025-05-02,"gbif"
"Libellula depressa",47.085483,7.203463,2025-05-01,"gbif"
"Libellula depressa",46.187204,6.012351,2025-05-09,"gbif"
"Libellula depressa",46.980222,7.042322,2025-05-01,"gbif"
"Libellula depressa",46.99298,6.917432,2025-05-13,"gbif"
"Libellula depressa",47.649908,9.186864,2025-05-11,"gbif"
"Libellula depressa",47.650222,9.187283,2025-05-11,"gbif"
"Libellula depressa",46.301726,6.911969,2025-05-18,"gbif"
"Libellula depressa",46.582016,6.64552,2025-05-18,"gbif"
"Libellula depressa",46.234398,6.235232,2025-05-14,"gbif"
"Libellula depressa",47.028568,8.310288,2025-05-10,"gbif"
"Libellula depressa",47.334,8.5104,2025-05-24,"gbif"
"Libellula depressa",46.196359,6.171859,2025-05-24,"gbif"
"Libellula depressa",47.538075,7.800665,2025-05-13,"gbif"
"Libellula depressa",46.184543,6.023113,2025-05-18,"gbif"
"Libellula depressa",47.341539,9.449067,2025-05-31,"gbif"
"Libellula depressa",46.456309,7.44528,2025-05-29,"gbif"
"Libellula depressa",47.476101,8.115945,2025-05-31,"gbif"
"Libellula depressa",46.662411,6.548271,2025-05-29,"gbif"
"Libellula depressa",47.598662,9.034467,2025-05-20,"gbif"
"Libellula depressa",47.506034,7.805184,2025-05-15,"gbif"
"Libellula depressa",46.9278,7.01189,2025-05-13,"gbif"
"Libellula depressa",47.40998,9.19431,2025-05-14,"gbif"
"Libellula depressa",47.4677,7.07387,2025-05-02,"gbif"
"Libellula depressa",46.74621,8.1911,2025-05-16,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-02,"gbif"
"Libellula depressa",46.79355,7.27491,2025-05-14,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-09,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",46.82117,9.43727,2025-05-01,"gbif"
"Libellula depressa",46.79355,7.60236,2025-05-02,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",46.33679,6.1723,2025-05-15,"gbif"
"Libellula depressa",47.42224,7.93559,2025-05-30,"gbif"
"Libellula depressa",47.51301,7.67094,2025-05-18,"gbif"
"Libellula depressa",47.10506,8.32789,2025-05-19,"gbif"
"Libellula depressa",47.15324,7.20788,2025-05-15,"gbif"
"Libellula depressa",46.33679,6.1723,2025-05-15,"gbif"
"Libellula depressa",46.88154,6.74987,2025-05-24,"gbif"
"Libellula depressa",46.92566,8.25927,2025-05-29,"gbif"
"Libellula depressa",47.41875,8.46565,2025-05-13,"gbif"
"Libellula depressa",47.41875,8.46565,2025-05-20,"gbif"
"Libellula depressa",46.88358,7.34024,2025-05-14,"gbif"
"Libellula depressa",47.37833,7.47173,2025-05-17,"gbif"
"Libellula depressa",47.41875,8.46565,2025-05-10,"gbif"
"Libellula depressa",46.65625,6.68742,2025-05-21,"gbif"
"Libellula depressa",46.6124,6.88385,2025-05-29,"gbif"
"Libellula depressa",46.56536,6.55826,2025-05-27,"gbif"
"Libellula depressa",47.46789,7.73706,2025-05-11,"gbif"
"Libellula depressa",46.79355,7.60236,2025-05-02,"gbif"
"Libellula depressa",46.79355,7.60236,2025-05-02,"gbif"
"Libellula depressa",47.46823,7.5381,2025-05-14,"gbif"
"Libellula depressa",47.23763,8.59425,2025-05-30,"gbif"
"Libellula depressa",46.79355,7.60236,2025-05-02,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",46.10877,8.9584,2025-05-29,"gbif"
"Libellula depressa",47.51286,7.73731,2025-05-24,"gbif"
"Libellula depressa",46.25288,6.95236,2025-05-01,"gbif"
"Libellula depressa",46.5187,6.36353,2025-05-16,"gbif"
"Libellula depressa",46.10877,8.9584,2025-05-29,"gbif"
"Libellula depressa",47.46789,7.14019,2025-05-14,"gbif"
"Libellula depressa",47.42273,7.07418,2025-05-09,"gbif"
"Libellula depressa",47.15308,7.14195,2025-05-30,"gbif"
"Libellula depressa",47.15335,7.27381,2025-05-03,"gbif"
