"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","tmax_mean_c","prec_mean_annual","elevation","NDVI"
5,"Libellula depressa",46.11888,7.60034,"2023-08-01","gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",1,-0.535416666666606,116.583333333333,3114,0.0717055555555556
5,"Libellula depressa",46.56014,8.84064,"2022-07-19","gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2,0.19166666666672,212.541666666667,2549,0.316155555555556
5,"Libellula depressa",46.43362,7.66633,"2024-07-19","gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",3,1.53333333333336,164.3125,2911,0.0884555555555556
18,"Libellula depressa",46.34333,7.79584,"2023-05-30","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",4,3.69166666666672,120.5625,2178,0.551588888888889
18,"Libellula depressa",46.51517,8.83947,"2021-07-29","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",5,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.51517,8.83947,"2022-07-15","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",6,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.47543,8.31756,"2021-06-22","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",7,1.95833333333337,197.6875,2461,0.501211111111111
18,"Libellula depressa",46.51517,8.83947,"2021-08-06","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",8,2.63333333333338,184.520833333333,2240,0.573122222222222
18,"Libellula depressa",46.34333,7.79584,"2023-05-29","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",9,3.69166666666672,120.5625,2178,0.551588888888889
18,"Libellula depressa",46.51517,8.83947,"2022-08-16","gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",10,2.63333333333338,184.520833333333,2240,0.573122222222222
