"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","t_mean_c","prec_mean_annual","elevation","slope_deg","aspect_deg","aspect_class","NDVI","temp_class","prec_class","distance_to_nearest_castor_m","distance_to_nearest_castor_km"
96,"Castor fiber",46.614825,7.102275,"2026-01-06","inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",25,10.1041666666667,92.8333333333333,674,0.561779406997129,348.328085025104,"North",0.514183333333333,"(10.1,11.6]","(88.1,102]",0,0
97,"Castor fiber",46.34284,6.95155,"2023-03-04","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",29,9.15000000000003,117.333333333333,809,25.4343646101519,240.001360974147,"West",0.876572222222222,"(8.51,10.1]","(115,129]",0,0
97,"Castor fiber",46.52211,6.81961,"2023-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",30,9.80833333333339,127,838,10.903255098354,9.06963812866222,"North",0.823488888888889,"(8.51,10.1]","(115,129]",0,0
97,"Castor fiber",47.55364,8.46826,"2023-09-12","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",35,10.9416666666667,75.9583333333333,446,7.28853063063617,104.492936492505,"East",0.801655555555556,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",47.10811,7.1422,"2024-11-13","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",36,9.18125000000003,100.5,790,6.87336621197488,274.78714829509,"West",0.846544444444444,"(8.51,10.1]","(88.1,102]",0,0
97,"Castor fiber",47.37253,8.59717,"2022-01-09","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",42,9.7479166666667,100.75,689,6.50234189996544,40.3366931823861,"North",0.88755,"(8.51,10.1]","(88.1,102]",0,0
97,"Castor fiber",47.24262,7.86788,"2023-05-05","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",45,10.5208333333334,86.3125,502,3.39418437133766,207.547841733085,"South",0.697594444444445,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",46.88358,7.53703,"2022-01-14","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",47,10.8104166666667,86.2708333333333,529,0.23438147593082,102.918099781773,"East",0.790261111111111,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",47.41875,8.46565,"2022-01-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",48,10.3750000000001,82.8958333333333,542,9.49319496499619,174.471584740444,"South",0.889038888888889,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",47.46531,8.26759,"2025-04-11","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",50,10.6125,85.875,552,4.91871954735012,182.684754974762,"South",0.851227777777778,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",47.28782,7.80215,"2025-03-11","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",52,10.9041666666667,77.2083333333333,489,1.42923988548263,131.282415929189,"East",0.857988888888889,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",46.70359,7.27519,"2024-12-03","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",53,5.07291666666669,125.5,1524,11.8083644152631,59.507398815377,"East",0.827877777777778,"(3.81,5.37]","(115,129]",0,0
97,"Castor fiber",47.14213,9.05366,"2023-01-03","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",58,10.7354166666667,131.145833333333,473,13.3449856553878,254.916645490594,"West",0.821733333333334,"(10.1,11.6]","(129,143]",0,0
97,"Castor fiber",46.29854,7.73066,"2025-04-07","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",60,7.65208333333339,74.3958333333333,988,26.3141468257396,10.028537242907,"North",0.819555555555555,"(6.94,8.51]","(60.6,74.4]",0,0
97,"Castor fiber",47.51028,8.26829,"2023-01-07","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",65,10.3729166666667,90.25,556,0.238917054160415,189.279699017263,"South",0.790183333333333,"(10.1,11.6]","(88.1,102]",0,0
97,"Castor fiber",47.19595,8.19743,"2022-01-21","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",66,10.19375,118.208333333333,652,1.45410220190426,336.735004300564,"North",0.747716666666667,"(10.1,11.6]","(115,129]",0,0
97,"Castor fiber",47.09717,9.05231,"2023-10-19","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",67,10.1604166666667,130.666666666667,676,29.443630205993,90.6497986834437,"East",0.848794444444445,"(10.1,11.6]","(129,143]",0,0
97,"Castor fiber",46.7392,8.91073,"2023-02-23","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",69,2.69791666666669,130.083333333333,1956,19.5381027016616,165.396266817686,"South",0.799488888888889,"(2.24,3.81]","(129,143]",0,0
97,"Castor fiber",46.20891,7.34147,"2025-08-06","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",76,11.4770833333334,70.5208333333333,702,26.1040647352557,334.108258282781,"North",0.816533333333333,"(10.1,11.6]","(60.6,74.4]",0,0
97,"Castor fiber",47.439387,9.157022,"2025-03-23","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",77,10.4625,103.520833333333,532,1.11622155485693,339.839334040234,"North",0.8395,"(10.1,11.6]","(102,115]",0,0
97,"Castor fiber",47.46577,8.20127,"2022-01-15","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",95,11.1208333333334,81.0833333333333,429,6.16640714220346,100.732239327409,"East",0.878305555555556,"(10.1,11.6]","(74.4,88.1]",0,0
97,"Castor fiber",46.38781,6.95115,"2025-02-28","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",97,6.32083333333338,131,1172,36.0736007038334,278.918760268248,"West",0.883861111111111,"(5.37,6.94]","(129,143]",0,0
97,"Castor fiber",46.65817,7.79792,"2023-06-15","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",101,9.84583333333336,112.3125,636,11.5244731071171,350.660775547505,"North",0.869911111111111,"(8.51,10.1]","(102,115]",0,0
97,"Castor fiber",47.46721,7.93601,"2023-08-04","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",105,10.0104166666667,96.9791666666667,594,7.84457193813229,299.20100055677,"West",0.884327777777778,"(8.51,10.1]","(88.1,102]",0,0
97,"Castor fiber",47.41609,8.73064,"2022-01-29","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",115,10.3229166666667,97.7083333333333,571,1.79803552673955,246.840858287545,"West",0.860172222222222,"(10.1,11.6]","(88.1,102]",0,0
97,"Castor fiber",46.68512,9.49762,"2025-04-17","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",146,7.30625000000003,92.9375,1234,38.6074321795329,33.7484931286239,"North",0.805744444444444,"(6.94,8.51]","(88.1,102]",0,0
97,"Castor fiber",47.59735,8.60208,"2024-04-30","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",169,11.2645833333333,71.8125,348,1.50679438881377,272.989322663168,"West",0.857094444444444,"(10.1,11.6]","(60.6,74.4]",0,0
97,"Castor fiber",46.83784,7.01261,"2024-04-10","gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",170,10.6020833333334,91.5833333333333,605,7.13791671899299,184.561499494515,"South",0.802838888888889,"(10.1,11.6]","(88.1,102]",0,0
